timestamp,value1,value2,hand,gesture
1728496188.2524736,470,923,0,Open
1728496188.261997,471,925,0,Open
1728496188.2638228,475,926,0,Open
1728496188.265864,480,928,0,Open
1728496188.267815,480,930,0,Open
1728496188.2701528,540,932,0,Open
1728496188.2718775,542,934,0,Open
1728496188.273648,734,936,0,Open
1728496188.2754846,660,937,0,Open
1728496188.2770326,554,939,0,Open
1728496188.2787871,480,941,0,Open
1728496188.28071,467,942,0,Open
1728496188.2826543,473,944,0,Open
1728496188.2845726,466,946,0,Open
1728496188.2866864,473,947,0,Open
1728496188.288417,469,949,0,Open
1728496188.2900186,480,951,0,Open
1728496188.2916467,532,952,0,Open
1728496188.293369,596,954,0,Open
1728496188.29494,661,955,0,Open
1728496188.296701,839,957,0,Open
1728496188.2983088,650,958,0,Open
1728496188.3000708,582,959,0,Open
1728496188.3017793,479,961,0,Open
1728496188.3036594,479,962,0,Open
1728496188.305339,477,964,0,Open
1728496188.3072443,475,965,0,Open
1728496188.308762,472,966,0,Open
1728496188.3103826,475,967,0,Open
1728496188.3119614,479,969,0,Open
1728496188.3137991,584,970,0,Open
1728496188.3152845,591,971,0,Open
1728496188.3168912,756,972,0,Open
1728496188.31887,741,973,0,Open
1728496188.3209352,593,975,0,Open
1728496188.3225694,551,976,0,Open
1728496188.3241396,480,977,0,Open
1728496188.3269048,479,978,0,Open
1728496188.3287325,479,979,0,Open
1728496188.330644,476,980,0,Open
1728496188.3325844,479,981,0,Open
1728496188.3349168,480,982,0,Open
1728496188.336838,542,983,0,Open
1728496188.3385592,580,984,0,Open
1728496188.3402152,648,985,0,Open
1728496188.3417962,744,985,0,Open
1728496188.343739,583,986,0,Open
1728496188.3452778,527,987,0,Open
1728496188.346947,479,988,0,Open
1728496188.3485894,475,989,0,Open
1728496188.3501852,469,989,0,Open
1728496188.352138,466,990,0,Open
1728496188.354169,471,991,0,Open
1728496188.355832,480,991,0,Open
1728496188.3576689,480,992,0,Open
1728496188.3591118,506,993,0,Open
1728496188.360725,543,993,0,Open
1728496188.3623674,711,994,0,Open
1728496188.3641944,656,994,0,Open
1728496188.366201,589,995,0,Open
1728496188.367845,479,995,0,Open
1728496188.3700626,478,996,0,Open
1728496188.371817,471,996,0,Open
1728496188.3734782,473,997,0,Open
1728496188.3750894,467,997,0,Open
1728496188.3767233,476,997,0,Open
1728496188.3783276,480,998,0,Open
1728496188.3799484,479,998,0,Open
1728496188.381586,524,998,0,Open
1728496188.38336,586,999,0,Open
1728496188.3852482,678,999,0,Open
1728496188.386972,603,999,0,Open
1728496188.38859,495,999,0,Open
1728496188.3902798,480,1000,0,Open
1728496188.3919165,467,1000,0,Open
1728496188.393547,470,1000,0,Open
1728496188.3951564,463,1000,0,Open
1728496188.396787,476,1000,0,Open
1728496188.398418,480,1000,0,Open
1728496188.4008846,480,1000,0,Open
1728496188.402012,569,1000,0,Open
1728496188.403954,609,1000,0,Open
1728496188.408038,835,1000,0,Open
1728496188.4100106,710,1000,0,Open
1728496188.4118445,635,1000,0,Open
1728496188.4135766,511,1000,0,Open
1728496188.4152546,479,999,0,Open
1728496188.417042,479,999,0,Open
1728496188.4187093,477,999,0,Open
1728496188.4203124,476,999,0,Open
1728496188.4220304,479,999,0,Open
1728496188.4237864,480,998,0,Open
1728496188.4253929,542,998,0,Open
1728496188.4269366,574,998,0,Open
1728496188.428457,751,997,0,Open
1728496188.4299755,761,997,0,Open
