timestamp,value1,value2
1728496188.6214793,479,794
1728496188.623038,479,790
1728496188.6247194,478,787
1728496188.6263394,473,784
1728496188.6279376,458,781
1728496188.6295323,479,778
1728496188.631101,481,775
1728496188.6327055,543,772
1728496188.6342835,600,769
1728496188.6358688,735,765
1728496188.6375322,718,762
1728496188.639136,660,759
1728496188.64071,538,756
1728496188.6422412,479,752
1728496188.6448386,477,749
1728496188.6460564,479,746
1728496188.6478496,468,742
1728496188.6495633,479,739
1728496188.651204,480,736
1728496188.6532562,533,732
1728496188.6549678,541,729
1728496188.6576357,612,725
1728496188.6592095,712,722
1728496188.660828,635,718
1728496188.662442,526,715
1728496188.6640909,479,711
1728496188.6657634,475,708
1728496188.667323,474,704
1728496188.668883,457,701
1728496188.6706533,475,697
1728496188.6722956,479,694
1728496188.67395,480,690
1728496188.675538,519,686
1728496188.6771495,547,683
1728496188.6786969,676,679
1728496188.6803918,647,675
1728496188.6819863,547,672
1728496188.684033,479,668
1728496188.6856508,479,664
1728496188.6874337,466,661
1728496188.6890736,469,657
1728496188.6907206,474,653
1728496188.6923542,477,649
1728496188.693998,480,645
1728496188.6955507,480,642
1728496188.6971807,542,638
1728496188.6987803,640,634
1728496188.7004242,703,630
1728496188.7021089,605,626
1728496188.703823,497,622
1728496188.7054794,479,618
1728496188.7070634,471,614
1728496188.709674,479,610
1728496188.7112978,474,606
1728496188.7132242,479,602
1728496188.7152717,480,598
1728496188.7170386,539,594
1728496188.7186673,568,590
1728496188.7204616,591,586
1728496188.722159,758,582
1728496188.723792,750,578
1728496188.7254112,635,574
1728496188.7270224,504,570
1728496188.7286134,479,566
1728496188.730266,478,562
1728496188.731888,470,558
1728496188.7336173,473,554
1728496188.7352345,480,549
1728496188.7371466,480,545
1728496188.7387826,553,541
1728496188.740398,596,537
1728496188.742017,721,533
1728496188.7436078,778,528
1728496188.745219,665,524
1728496188.746823,582,520
1728496188.748465,506,515
1728496188.750039,478,511
1728496188.7516031,478,507
1728496188.753273,469,503
1728496188.7549736,479,498
